freq,vout,errv
740,1.72,0.08
750,1.2,0.08
755,0.92,0.08
760,0.68,0.08
765,0.6,0.08
770,0.72,0.08
775,0.96,0.08
780,1.16,0.08
790,1.68,0.08
740,1.72,0.08
750,1.2,0.08
