t,v
0,0
5,4.72
10,7.92
15,10.1
20,11.6
25,12.3
30,12.6
35,12.5
40,12.2
45,11.7
50,11
55,10.3
60,9.52
65,8.72
70,7.92
75,7.2
80,6.4
85,5.84
90,5.2
95,4.56
100,4
105,3.52
110,3.12
115,2.64
120,2.32
125,2
130,1.76
135,1.52
140,1.28
145,1.12
150,0.96
165,0.56
180,0.32
